100;1.01;10000;;clauset;1.1281255894899371
100;1.01;10000;0.01;abc_lin_reg_mle;1.0102153043890847
100;1.01;10000;0.01;abc_lin_reg_median;1.0103080672505214
100;1.02;10000;;clauset;1.1320887047052381
100;1.02;10000;0.01;abc_lin_reg_mle;1.0205467111921356
100;1.02;10000;0.01;abc_lin_reg_median;1.0207058631157437
100;1.03;10000;;clauset;1.1358246213197711
100;1.03;10000;0.01;abc_lin_reg_mle;1.02985178462332
100;1.03;10000;0.01;abc_lin_reg_median;1.029685366257084
100;1.04;10000;;clauset;1.1409644538164136
100;1.04;10000;0.01;abc_lin_reg_mle;1.0407893873868628
100;1.04;10000;0.01;abc_lin_reg_median;1.0408727684698014
100;1.05;10000;;clauset;1.1461632293462753
100;1.05;10000;0.01;abc_lin_reg_mle;1.050795144783289
100;1.05;10000;0.01;abc_lin_reg_median;1.0511016533196096
100;1.06;10000;;clauset;1.151945005059242
100;1.06;10000;0.01;abc_lin_reg_mle;1.0611824402009418
100;1.06;10000;0.01;abc_lin_reg_median;1.0612971745894177
100;1.07;10000;;clauset;1.1581083029508588
100;1.07;10000;0.01;abc_lin_reg_mle;1.0718430275669664
100;1.07;10000;0.01;abc_lin_reg_median;1.0718430275669664
100;1.08;10000;;clauset;1.1643058949708938
100;1.08;10000;0.01;abc_lin_reg_mle;1.081425209803838
100;1.08;10000;0.01;abc_lin_reg_median;1.081425209803838
100;1.09;10000;;clauset;1.1709182316064835
100;1.09;10000;0.01;abc_lin_reg_mle;1.0915117310046298
100;1.09;10000;0.01;abc_lin_reg_median;1.091413750081543
100;1.1;10000;;clauset;1.1778820830583572
100;1.1;10000;0.01;abc_lin_reg_mle;1.1017034465685467
100;1.1;10000;0.01;abc_lin_reg_median;1.1013961561996177
100;1.11;10000;;clauset;1.1854182177782056
100;1.11;10000;0.01;abc_lin_reg_mle;1.1125091934622489
100;1.11;10000;0.01;abc_lin_reg_median;1.1122353124626103
100;1.12;10000;;clauset;1.1928236061334607
100;1.12;10000;0.01;abc_lin_reg_mle;1.1229295818704528
100;1.12;10000;0.01;abc_lin_reg_median;1.122216632162067
100;1.13;10000;;clauset;1.2003200882673262
100;1.13;10000;0.01;abc_lin_reg_mle;1.132327023123631
100;1.13;10000;0.01;abc_lin_reg_median;1.1326008744071427
100;1.1400000000000001;10000;;clauset;1.2077651292085647
100;1.1400000000000001;10000;0.01;abc_lin_reg_mle;1.1426526841516267
100;1.1400000000000001;10000;0.01;abc_lin_reg_median;1.1423927729140786
100;1.15;10000;;clauset;1.215577760338783
100;1.15;10000;0.01;abc_lin_reg_mle;1.1523048265809932
100;1.15;10000;0.01;abc_lin_reg_median;1.152599271564217
100;1.16;10000;;clauset;1.223513635993004
100;1.16;10000;0.01;abc_lin_reg_mle;1.161484054958123
100;1.16;10000;0.01;abc_lin_reg_median;1.1624736818857266
100;1.17;10000;;clauset;1.2317485135793684
100;1.17;10000;0.01;abc_lin_reg_mle;1.1723514381845082
100;1.17;10000;0.01;abc_lin_reg_median;1.1728882969766534
100;1.18;10000;;clauset;1.2399105161428452
100;1.18;10000;0.01;abc_lin_reg_mle;1.183372678291118
100;1.18;10000;0.01;abc_lin_reg_median;1.183372678291118
100;1.19;10000;;clauset;1.2481646841764449
100;1.19;10000;0.01;abc_lin_reg_mle;1.192870461732332
100;1.19;10000;0.01;abc_lin_reg_median;1.1933921156619516
100;1.2;10000;;clauset;1.2565656739473345
100;1.2;10000;0.01;abc_lin_reg_mle;1.2046393792335097
100;1.2;10000;0.01;abc_lin_reg_median;1.2040048056079893
100;1.21;10000;;clauset;1.2648637813329697
100;1.21;10000;0.01;abc_lin_reg_mle;1.2142122021329984
100;1.21;10000;0.01;abc_lin_reg_median;1.213676144165486
100;1.22;10000;;clauset;1.2732251185178753
100;1.22;10000;0.01;abc_lin_reg_mle;1.2244593851329713
100;1.22;10000;0.01;abc_lin_reg_median;1.2238113690895784
100;1.23;10000;;clauset;1.2820290642976762
100;1.23;10000;0.01;abc_lin_reg_mle;1.2329328919742972
100;1.23;10000;0.01;abc_lin_reg_median;1.2335223319830697
100;1.24;10000;;clauset;1.290359322428703
100;1.24;10000;0.01;abc_lin_reg_mle;1.2439905275681509
100;1.24;10000;0.01;abc_lin_reg_median;1.2441932965152322
100;1.25;10000;;clauset;1.2988867717981336
100;1.25;10000;0.01;abc_lin_reg_mle;1.2541634872291214
100;1.25;10000;0.01;abc_lin_reg_median;1.2543608266950477
100;1.26;10000;;clauset;1.3075739032030105
100;1.26;10000;0.01;abc_lin_reg_mle;1.263889102205192
100;1.26;10000;0.01;abc_lin_reg_median;1.2640947444266797
100;1.27;10000;;clauset;1.3165771836042401
100;1.27;10000;0.01;abc_lin_reg_mle;1.2741163609296033
100;1.27;10000;0.01;abc_lin_reg_median;1.2748606518925738
100;1.28;10000;;clauset;1.325318971276283
100;1.28;10000;0.01;abc_lin_reg_mle;1.2854848440100022
100;1.28;10000;0.01;abc_lin_reg_median;1.285230033644506
100;1.29;10000;;clauset;1.3342107957601546
100;1.29;10000;0.01;abc_lin_reg_mle;1.294914305965667
100;1.29;10000;0.01;abc_lin_reg_median;1.295309817311106
100;1.3;10000;;clauset;1.3433330339193343
100;1.3;10000;0.01;abc_lin_reg_mle;1.3061403243182446
100;1.3;10000;0.01;abc_lin_reg_median;1.305517017027666
100;1.31;10000;;clauset;1.3520040899515153
100;1.31;10000;0.01;abc_lin_reg_mle;1.3154047749186784
100;1.31;10000;0.01;abc_lin_reg_median;1.3154047749186784
